更新时间: 2025-12-23 11:46:34（北京时间）

更新时间,#genre#
2025-12-23 11:46:34,https://gitee.com/goldenwuhan/tv/raw/master/3D.mp4

央视频道,#genre#
CCTV4K,http://122.234.155.78:55555/rtp/233.50.201.226:5140$浙江电信
兵器科技,http://61.159.134.134:18000/rtp/238.255.2.34:5999$贵州电信
兵器科技,http://116.233.63.135:5555/udp/239.45.0.45:5140$上海市电信
兵器科技,http://116.233.63.135:5555/udp/239.45.1.74:5140$上海市电信
兵器科技,http://113.25.107.189:10000/rtp/239.1.1.97:8097$山西电信
风云音乐,http://61.159.134.134:18000/rtp/238.255.2.24:5999$贵州电信
风云音乐,http://116.233.63.135:5555/udp/239.45.0.52:5140$上海市电信
风云音乐,http://113.25.107.189:10000/rtp/239.1.1.96:8096$山西电信
风云足球,http://61.159.134.134:18000/rtp/238.255.2.29:5999$贵州电信
风云足球,http://116.233.63.135:5555/udp/239.45.0.43:5140$上海市电信
风云足球,http://116.233.63.135:5555/udp/239.45.1.75:5140$上海市电信
风云足球,http://113.25.107.189:10000/rtp/239.1.1.101:8101$山西电信
风云剧场,http://61.159.134.134:18000/rtp/238.255.2.28:5999$贵州电信
风云剧场,http://116.233.63.135:5555/udp/239.45.0.50:5140$上海市电信
风云剧场,http://113.25.107.189:10000/rtp/239.1.1.93:8093$山西电信
怀旧剧场,http://61.159.134.134:18000/rtp/238.255.2.33:5999$贵州电信
怀旧剧场,http://116.233.63.135:5555/udp/239.45.0.49:5140$上海市电信
怀旧剧场,http://113.25.107.189:10000/rtp/239.1.1.95:8095$山西电信
第一剧场,http://61.159.134.134:18000/rtp/238.255.2.25:5999$贵州电信
第一剧场,http://116.233.63.135:5555/udp/239.45.0.51:5140$上海市电信
第一剧场,http://113.25.107.189:10000/rtp/239.1.1.94:8094$山西电信
女性时尚,http://61.159.134.134:18000/rtp/238.255.2.27:5999$贵州电信
女性时尚,http://116.233.63.135:5555/udp/239.45.0.47:5140$上海市电信
女性时尚,http://113.25.107.189:10000/rtp/239.1.1.89:8089$山西电信
世界地理,http://61.159.134.134:18000/rtp/238.255.2.26:5999$贵州电信
世界地理,http://116.233.63.135:5555/udp/239.45.0.46:5140$上海市电信
世界地理,http://113.25.107.189:10000/rtp/239.1.1.99:8099$山西电信
央视台球,http://61.159.134.134:18000/rtp/238.255.2.224:5999$贵州电信
央视台球,http://116.233.63.135:5555/udp/239.45.0.44:5140$上海市电信
央视台球,http://113.25.107.189:10000/rtp/239.1.1.100:8100$山西电信
高尔夫网球,http://61.159.134.134:18000/rtp/238.255.2.223:5999$贵州电信
高尔夫网球,http://116.233.63.135:5555/udp/239.45.0.48:5140$上海市电信
高尔夫网球,http://116.233.63.135:5555/udp/239.45.1.72:5140$上海市电信
高尔夫网球,http://113.25.107.189:10000/rtp/239.1.1.102:8102$山西电信
央视文化精品,http://61.159.134.134:18000/rtp/238.255.2.32:5999$贵州电信
央视文化精品,http://116.233.63.135:5555/udp/239.45.0.53:5140$上海市电信
央视文化精品,http://116.233.63.135:5555/udp/239.45.1.17:5140$上海市电信
央视文化精品,http://113.25.107.189:10000/rtp/239.1.1.91:8091$山西电信
电视指南,http://116.233.63.135:5555/udp/239.45.1.73:5140$上海市电信
电视指南,http://113.25.107.189:10000/rtp/239.1.1.90:8090$山西电信
中学生,http://61.159.134.134:18000/rtp/238.255.2.181:5999$贵州电信
中学生,http://113.25.107.189:10000/rtp/239.1.1.104:8104$山西电信
发现之旅,http://61.159.134.134:18000/rtp/238.255.2.184:5999$贵州电信
发现之旅,http://113.25.107.189:10000/rtp/239.1.1.103:8103$山西电信
国学频道,http://61.159.134.134:18000/rtp/238.255.2.176:5999$贵州电信
环球奇观,http://61.159.134.134:18000/rtp/238.255.2.43:5999$贵州电信
环球奇观,http://113.25.107.189:10000/rtp/239.1.1.98:8098$山西电信

卫视频道,#genre#
湖南卫视,http://125.80.158.137:7788/rtp/235.254.198.62:1524$重庆市电信
湖南卫视,http://61.159.134.134:18000/rtp/238.255.2.93:5999$贵州电信
湖南卫视,http://121.56.186.21:4022/rtp/239.29.0.90:5000$内蒙古电信
湖南卫视,http://113.120.108.164:4000/rtp/239.21.1.158:5002$山东电信
湖南卫视,http://123.155.19.237:8888/rtp/233.50.201.103:5140$浙江电信
湖南卫视,http://123.155.19.237:8888/rtp/233.50.200.190:5140$浙江电信
湖南卫视,http://123.155.19.237:8888/rtp/233.50.202.106:5140$浙江电信
